Name,Rank,Followers,Audience Country,Authentic Engagement,Engagement Avg.
777,55,368,3,775,1
358,364,153,10,322,336
842,993,374,11,259,275
716,329,269,10,169,204
816,904,80,32,11,49
891,953,46,11,50,75
867,386,350,11,796,0
922,969,204,32,602,669
790,229,90,11,681,741
611,203,350,29,7,143
499,11,388,11,640,675
668,328,9,26,576,758
835,528,325,3,634,788
664,1000,49,13,48,78
578,205,199,33,0,578
617,893,346,32,292,394
778,285,232,32,274,338
471,19,180,32,1,3
616,127,114,32,2,5
746,25,352,11,566,430
889,492,327,10,781,12
324,174,129,3,766,137
713,752,67,26,113,120
190,909,207,23,593,653
892,181,285,32,439,493
328,279,29,11,724,789
335,498,344,32,553,757
527,746,82,3,87,116
4,986,1,32,103,154
565,343,340,31,809,57
536,519,7,3,450,498
90,552,313,3,617,729
958,204,228,26,457,531
223,176,101,17,806,0
599,702,346,12,458,550
510,2,238,2,365,431
459,797,374,18,337,391
631,193,243,17,498,526
558,570,348,32,440,655
180,754,26,10,174,214
165,534,127,32,158,202
349,833,11,3,739,259
278,518,173,32,140,130
33,828,18,26,145,192
766,506,371,32,618,697
266,500,229,9,27,81
673,220,414,11,4,7
910,592,27,31,283,353
518,276,159,32,428,512
248,172,70,32,791,2
816,780,93,32,58,96
6,605,41,11,325,309
334,131,281,10,605,660
97,598,101,32,131,177
502,441,291,3,755,43
571,310,373,3,675,3
554,758,46,32,89,163
854,927,403,3,263,284
894,435,294,32,768,44
105,400,344,32,655,0
526,524,379,2,550,633
238,654,56,23,219,227
14,283,310,32,0,138
775,978,264,12,447,505
269,185,49,32,805,4
184,693,42,31,163,226
436,817,207,3,654,718
427,955,350,32,260,325
914,970,163,32,642,748
585,314,80,11,475,580
824,627,344,32,581,618
377,900,265,32,404,534
948,857,310,11,445,492
449,629,407,10,402,452
663,744,407,17,253,337
87,438,46,3,279,477
214,346,174,32,267,348
908,716,46,14,152,210
315,972,205,25,624,646
639,715,2,11,342,315
406,422,379,3,731,733
126,73,139,11,209,142
491,8,244,32,2,8
56,655,373,3,444,521
10,307,391,3,829,2
813,182,286,32,417,489
570,560,32,31,265,376
141,695,389,32,374,514
441,620,332,10,544,683
122,196,42,2,1,2
704,807,256,11,580,667
857,618,309,32,508,698
65,551,39,3,245,372
898,761,309,32,470,556
674,79,149,11,7,138
431,482,314,17,792,800
500,137,79,32,208,6
112,864,66,17,37,88
154,357,414,32,608,769
402,243,25,32,800,1
